sentences,countofwords
"5/3/23, 2:03 PM  Zacks Equity Research Report for AAPL  May 03, 2023  Quote or Search  Long Term:  6-12 Months Zacks Recommendation:  Neutral     Short Term:  1-3 Months     (Since: 04/22/22) Prior Recommendation: Outperform Zacks Rank: (1-5) Zacks Style Scores: Value: D  Growth: A  3-Hold VGM: C Momentum: F  Price, Consensus & Surprise  Apple Inc. (AAPL) $168.54 (As of 05/02/23) Price Target (6-12 Months): $178.00  Summary Apple shares have been performing better than the industry year  to  date. It  expects  the  March  quarter’s  year-over-year revenue growth to be similar to that of the December quarter due  to  unfavorable  forex. For  iPhone,  Apple  expects  the March quarter’s year-over-year revenue growth to accelerate relative  to  the  December  quarter’s  year-over-year  revenue growth. ",116
"For Mac and iPad, revenues are expected to decline in double digits on a year-over-year basis due to challenging comparison  and  macroeconomic  headwinds. Services revenue  growth  is  expected  to  be  negatively  impacted  by challenging macroeconomic conditions, as well as weakness in  digital  advertising  and  gaming. However,  revenues  are expected to grow year over year. ",54
"Growing services subscriber base  and  a  strong  liquidity  position  are  key  catalysts  for Apple’s prospects. Data Overview 52 Week High-Low 20 Day Average Volume (sh) Market Cap YTD Price Change Beta Dividend / Div Yld Industry Zacks Industry Rank  Last EPS Surprise Last Sales Surprise EPS F1 Est- 4 week change Expected Report Date Earnings ESP  Sales and EPS Growth Rates (Y/Y %)  Sales    EPS   $176.15 - $124.17 48,371,028 $2,666.6 B 29.7% 1.29 $0.92 / 0.5% Computer - Mini computers Top 26% (66 out of 250)  -2.6% -3.3% -0.5% 05/04/2023 -0.3%  Sales Estimates (millions of $)     2024 2023 2022  Q1 121,982 E 117,154 A 123,945 A  Q2 94,274 E 91,911 E 97,278 A  Q3 87,409 E 82,932 E 82,959 A  Q4 98,252 E 92,379 E 90,146 A  Annual* 401,917 E 384,376 E 394,328 A  P/E TTM P/E F1 PEG F1  https://www.zacks.com/zer/report/AAPL?adid=zp_premhome_zer&icid=investment_services-zacks_premium-zp_internal-zacks_premium-equity_research-zer_reports  1/9  EPS Estimates Q1 1.86 E  2024     Q2 1.48 E  Q3 1.46 E  Q4 1.63 E  Annual* 6.43 E  28.6 28.7 2.3  5/3/23, 2:03 PM  P/S TTM  6.9  Zacks Equity Research Report for AAPL Q2 1.39 E 1.52 A  2023 2022 *Quarterly ﬁgures may not add up to annual. Q1 1.88 A 2.10 A  Q3 1.20 E 1.20 A  Q4 1.40 E 1.29 A  Annual* 5.88 E 6.11 A  The data in the charts and tables, except sales and EPS estimates, is as of 05/02/2023. ",226
"The report's text, and the analyst-provided sales estimates, EPS estimates and price target are as of 05/02/2023. Overview Apple’s  business  primarily  runs  around  its  ﬂagship  iPhone. However,  the Services  portfolio  that  includes  revenues  from  cloud  services, App  store, Apple Music, AppleCare, Apple Pay, and licensing and other services now became the cash cow. ",53
"Moreover,  non-iPhone  devices  like  Apple  Watch  and  AirPod  gained signiﬁcant traction. In fact, Apple dominates the Wearables and Hearables markets due to the growing adoption of Watch and AirPods. Solid uptake of Apple  Watch  also  helped  Apple  strengthen  its  presence  in  the  personal health monitoring space. ",46
"Headquartered  in  Cupertino,  CA,  Apple  also  designs,  manufactures  and sells  iPad,  MacBookand  HomePod. These  devices  are  powered  by software applications including iOS, macOS, watchOS and tvOS operating systems. Apple’s  other  services  include  subscription-based  Apple  News+,  Apple Card, Apple Arcade, new Apple TV app, Apple TV channels and Apple TV+, a new subscription service. ",53
"In  ﬁscal  2022,  Apple  generated  $394.33  billion  in  total  revenues. The company’s ﬂagship device iPhone accounted for 52.1% of total revenues. Services,  Mac  and  iPad  category  contributed  19.8%,  10.2%  and  7.4%, respectively. ",32
"Wearables,  Home  and  Accessories  products  category contributed 10.5%. Apple primarily reports revenues on a geographic basis, namely the Americas (North & South America), Europe (European countries, India, Middle East and Africa), Greater China (China, Hong Kong & Taiwan), Japan and Rest of Asia Paciﬁc (Australia & other Asian Countries). In ﬁscal 2022, Americas, Europe, Greater China, Japan and Rest of Asia-Paciﬁc accounted for 43%, 24.1%, 18.8%, 6.6% and 7.4% of total revenues, respectively. ",73
"Apple faces stiff competition from the likes of Samsung, Xiaomi, Oppo, Vivo, Google, Huawei and Motorola in the smartphone market. Lenovo, HP, Dell, Acer and Asus are its primary competitors in the PC market. Other notable competitors are Google & Amazon (smart speakers) and Fitbit & Xiaomi (wearables). ",48
"https://www.zacks.com/zer/report/AAPL?adid=zp_premhome_zer&icid=investment_services-zacks_premium-zp_internal-zacks_premium-equity_research-zer_reports  2/9  5/3/23, 2:03 PM  Zacks Equity Research Report for AAPL  Reasons To Buy:  Apple’s  Services  and  Wearables  businesses  are  expected  to  drive  top-line  growth  in  ﬁscal 2023  and  beyond. Although Apple’s  business  primarily  runs  around  its  ﬂagship  iPhone,  the Services portfolio has emerged as the company’s new cash cow. Apple’s endeavors to open up its ecosystem, through partnerships with the likes of Samsung and Amazon, are positive for the  Services  segment. ",72
"The  subscription-based  video  streaming,  news  and  gaming  services are expected to beneﬁt from Apple’s strong installed base. Robust App Store sales coupled with  solid  adoption  of  Apple  Pay  and  Apple  Music  helped  Moreover,  its  wearables  and hearables business are expected to be driven by solid demand for Apple Watch and Airpods. Apple is beneﬁting from momentum in the Services business, strong adoption of Apple Pay and growing Wearables business. ",69
"Apple currently has more than 935 million paid subscribers across its Services portfolio. The App Store continues to draw the attention of prominent developers from around the world, helping the company offer appealing new apps that drive App Store trafﬁc. Further, growing number of AI-infused apps will attract more subscribers on App Store. ",53
"Notably, more than 30,000 third-party subscription apps are available on App Store and the largest of them accounts for only 0.25% of Apple’s total Services revenues. Apple Pay, designed on the basis of a contactless payment (NFC) technology, has been expanded to several markets. Apple Pay allowed entry to more than 150 stadiums, ballparks, arenas and entertainment venues around the world with contactless tickets. ",64
"Moreover, users could  ride  public  transport  in  Shanghai,  Beijing,  Tokyo,  Moscow,  London  and  New  York. Users  can  also  access  dorms  and  services  of additional universities across the United States through Apple Watch and iPhone. The growing adoption of contactless payment primarily due to coronavirus pandemic bodes well for Apple Pay. ",50
